年次,都道府県名,region,田_本地_ha,田_けい畔_ha,畑_本地_ha,畑_けい畔_ha
2010,長野県,Nagano,48200,7230,52700,3170
2011,長野県,Nagano,48000,7200,52600,3160
2012,長野県,Nagano,47900,7180,52600,3170
2013,長野県,Nagano,47600,7140,52500,3160
2014,長野県,Nagano,47400,7040,52400,3040
2015,長野県,Nagano,47100,6890,52000,2900
2016,長野県,Nagano,46800,6760,51700,2770
2017,長野県,Nagano,46500,6630,51600,2640
2018,長野県,Nagano,46200,6520,51500,2520
2019,長野県,Nagano,45900,6480,51200,2510
2020,長野県,Nagano,45500,6410,50900,2490
2021,長野県,Nagano,45300,6400,51000,2490
2022,長野県,Nagano,45100,6360,50900,2480
1965,長崎県,Nagasaki,32400,2790,50200,4370
1966,長崎県,Nagasaki,32300,2780,50000,4350
1967,長崎県,Nagasaki,32200,2770,48400,4210
1968,長崎県,Nagasaki,32300,2780,47200,4120
1969,長崎県,Nagasaki,32100,2760,45600,3980
1970,長崎県,Nagasaki,31800,2740,42800,3730
1971,長崎県,Nagasaki,31300,2710,42500,3660
1972,長崎県,Nagasaki,31000,2700,41200,3490
1973,長崎県,Nagasaki,30300,2640,39900,3480
1974,長崎県,Nagasaki,29400,2550,39200,3430
1975,長崎県,Nagasaki,28900,2500,39100,3410
1976,長崎県,Nagasaki,28600,2490,38700,3370
1977,長崎県,Nagasaki,28300,2460,38100,3230
1978,長崎県,Nagasaki,28100,2430,37800,3240
1979,長崎県,Nagasaki,27900,2390,37900,3240
1980,長崎県,Nagasaki,27800,2380,37700,3210
1981,長崎県,Nagasaki,27500,2360,37300,3180
1982,長崎県,Nagasaki,26900,2290,36800,3130
1983,長崎県,Nagasaki,26900,2270,36500,3090
1984,長崎県,Nagasaki,26900,2260,36200,3050
1985,長崎県,Nagasaki,26800,2250,35900,3030
1986,長崎県,Nagasaki,26700,2230,35600,3000
1987,長崎県,Nagasaki,26500,2210,35300,2970
1988,長崎県,Nagasaki,26300,2190,34600,2890
1989,長崎県,Nagasaki,26000,2160,33200,2740
1990,長崎県,Nagasaki,25900,2160,32600,2690
1991,長崎県,Nagasaki,25600,2140,31900,2630
1992,長崎県,Nagasaki,25400,2110,31000,2550
1993,長崎県,Nagasaki,25100,2080,30200,2490
1994,長崎県,Nagasaki,24700,2060,29500,2430
