年次,都道府県名,region,田_本地_ha,田_けい畔_ha,畑_本地_ha,畑_けい畔_ha
1991,沖縄県,Okinawa,829,54,44500,1670
1992,沖縄県,Okinawa,835,55,44600,1670
1993,沖縄県,Okinawa,886,58,44100,1640
1994,沖縄県,Okinawa,895,60,43100,1600
1995,沖縄県,Okinawa,909,61,42300,1570
1996,沖縄県,Okinawa,899,61,41700,1540
1997,沖縄県,Okinawa,891,60,41300,1530
1998,沖縄県,Okinawa,886,59,40300,1490
1999,沖縄県,Okinawa,879,59,39800,1470
2000,沖縄県,Okinawa,854,58,39100,1430
2001,沖縄県,Okinawa,859,58,38300,1390
2002,沖縄県,Okinawa,847,57,37900,1370
2003,沖縄県,Okinawa,842,56,37900,1370
2004,沖縄県,Okinawa,831,55,37500,1350
2005,沖縄県,Okinawa,822,55,37100,1340
2006,沖縄県,Okinawa,820,54,37000,1330
2007,沖縄県,Okinawa,825,54,36900,1330
2008,沖縄県,Okinawa,813,54,36900,1330
2009,沖縄県,Okinawa,822,54,36900,1330
2010,沖縄県,Okinawa,823,55,36900,1340
2011,沖縄県,Okinawa,811,54,36900,1330
2012,沖縄県,Okinawa,797,54,36800,1330
2013,沖縄県,Okinawa,797,54,36600,1320
2014,沖縄県,Okinawa,798,54,36600,1280
2015,沖縄県,Okinawa,795,55,36500,1250
2016,沖縄県,Okinawa,784,54,36200,1210
2017,沖縄県,Okinawa,769,53,36000,1180
2018,沖縄県,Okinawa,769,53,36000,1150
2019,沖縄県,Okinawa,767,53,35600,1140
2020,沖縄県,Okinawa,764,53,35000,1120
2021,沖縄県,Okinawa,749,51,34600,1100
2022,沖縄県,Okinawa,736,51,34400,1090
1965,岡山県,Okayama,83100,8090,30400,3760
1966,岡山県,Okayama,82700,8060,29200,3600
1967,岡山県,Okayama,81500,7940,27500,3390
1968,岡山県,Okayama,81000,7900,26600,3280
1969,岡山県,Okayama,79800,7780,26100,3210
1970,岡山県,Okayama,78500,7650,25500,3140
1971,岡山県,Okayama,77200,7530,24500,3010
1972,岡山県,Okayama,75800,7390,24200,2980
1973,岡山県,Okayama,74300,7290,23800,2910
1974,岡山県,Okayama,71000,6950,22800,2790
1975,岡山県,Okayama,69100,6760,21900,2670
1976,岡山県,Okayama,68100,6660,21300,2600
1977,岡山県,Okayama,67500,6630,21000,2580
1978,岡山県,Okayama,66800,6550,20900,2500
1979,岡山県,Okayama,65700,6500,20500,2410
1980,岡山県,Okayama,64300,6350,19800,2350
1981,岡山県,Okayama,63400,6300,19600,2320
1982,岡山県,Okayama,62700,6220,19400,2290
1983,岡山県,Okayama,62200,6180,19200,2270
1984,岡山県,Okayama,61700,6140,19100,2260
1985,岡山県,Okayama,61400,6100,18900,2250
1986,岡山県,Okayama,61100,6070,18800,2230
1987,岡山県,Okayama,60800,6050,18700,2210
1988,岡山県,Okayama,60500,6020,18700,2200
1989,岡山県,Okayama,60100,5980,18600,2190
1990,岡山県,Okayama,59500,5920,18400,2160
1991,岡山県,Okayama,58900,5870,18200,2100
1992,岡山県,Okayama,58300,5820,17900,2070
1993,岡山県,Okayama,57800,5770,17600,2030
1994,岡山県,Okayama,57300,5720,17300,1990
1995,岡山県,Okayama,56700,5670,16400,1890
1996,岡山県,Okayama,56000,5610,15800,1810
1997,岡山県,Okayama,55200,5540,15100,1740
1998,岡山県,Okayama,54600,5480,14500,1690
1999,岡山県,Okayama,53700,5370,14000,1620
2000,岡山県,Okayama,53400,5380,13500,1570
2001,岡山県,Okayama,52800,5310,12800,1510
2002,岡山県,Okayama,52600,5280,12400,1460
2003,岡山県,Okayama,52300,5250,12300,1450
2004,岡山県,Okayama,51800,5210,12500,1470
2005,岡山県,Okayama,51300,5140,13100,1540
2006,岡山県,Okayama,50800,5100,13300,1560
2007,岡山県,Okayama,50300,5050,13500,1590
2008,岡山県,Okayama,49800,5020,13300,1570
2009,岡山県,Okayama,49500,4980,13300,1560
2010,岡山県,Okayama,48800,4890,13700,1610
2011,岡山県,Okayama,48600,4870,13600,1600
2012,岡山県,Okayama,48100,4810,13400,1580
2013,岡山県,Okayama,47700,4760,13300,1560
2014,岡山県,Okayama,47400,4740,13200,1490
2015,岡山県,Okayama,47200,4730,13000,1420
2016,岡山県,Okayama,46900,4700,13000,1370
2017,岡山県,Okayama,46600,4680,12900,1310
2018,岡山県,Okayama,46000,4620,12800,1240
2019,岡山県,Okayama,46000,4620,12700,1230
2020,岡山県,Okayama,45400,4560,12400,1210
2021,岡山県,Okayama,44800,4500,12200,1190
2022,岡山県,Okayama,44600,4470,12100,1180
1965,大分県,Oita,54700,5000,33400,1980
1966,大分県,Oita,54500,4970,34000,2010
1967,大分県,Oita,54000,4920,32800,1940
1968,大分県,Oita,53900,4920,32900,1950
1969,大分県,Oita,53700,4900,32300,1910
1970,大分県,Oita,53100,4840,31700,1880
1971,大分県,Oita,52300,4770,31600,1870
1972,大分県,Oita,51400,4690,31400,1860
1973,大分県,Oita,50700,4620,31000,1840
1974,大分県,Oita,49100,4480,30500,1810
1975,大分県,Oita,48800,4450,30000,1780
1976,大分県,Oita,48000,4380,28900,1710
1977,大分県,Oita,47300,4320,27500,1640
1978,大分県,Oita,46900,4280,27200,1630
1979,大分県,Oita,46600,4240,27200,1610
1980,大分県,Oita,46300,4230,27500,1630
1981,大分県,Oita,46000,4240,27300,1610
1982,大分県,Oita,45700,4220,27100,1600
1983,大分県,Oita,45400,4180,27100,1610
1984,大分県,Oita,45100,4140,26800,1590
1985,大分県,Oita,44800,4100,26500,1560
1986,大分県,Oita,44500,3920,26100,1540
1987,大分県,Oita,44300,3910,25900,1530
1988,大分県,Oita,44000,3890,25300,1490
1989,大分県,Oita,43800,3870,24200,1420
1990,大分県,Oita,43300,3820,23900,1390
1991,大分県,Oita,43000,3800,23300,1360
1992,大分県,Oita,42700,3770,22800,1320
1993,大分県,Oita,42400,3740,22000,1270
1994,大分県,Oita,42100,3710,21300,1220
1995,大分県,Oita,41900,3700,20700,1190
1996,大分県,Oita,41700,3680,20300,1160
1997,大分県,Oita,41300,3640,19900,1140
1998,大分県,Oita,41000,3610,19500,1110
1999,大分県,Oita,40700,3590,19200,1100
2000,大分県,Oita,40400,3570,18900,1080
2001,大分県,Oita,40300,3520,18600,1060
2002,大分県,Oita,39900,3520,18200,1040
2003,大分県,Oita,39600,3490,17900,1030
2004,大分県,Oita,39000,3440,17600,1010
2005,大分県,Oita,38800,3420,17200,983
2006,大分県,Oita,38500,3390,16800,960
2007,大分県,Oita,38300,3370,16600,948
2008,大分県,Oita,38000,3340,16300,931
2009,大分県,Oita,37800,3320,16200,936
2010,大分県,Oita,37600,3300,16000,926
2011,大分県,Oita,37500,3290,15900,918
2012,大分県,Oita,37200,3270,15800,916
2013,大分県,Oita,37200,3270,15700,909
2014,大分県,Oita,37200,3280,15500,886
2015,大分県,Oita,37100,3260,15400,879
2016,大分県,Oita,36800,3240,15200,868
2017,大分県,Oita,36500,3210,15100,858
2018,大分県,Oita,36300,3190,15000,855
2019,大分県,Oita,36100,3170,14900,851
2020,大分県,Oita,35800,3140,14900,849
2021,大分県,Oita,35700,3130,14800,844
2022,大分県,Oita,35500,3110,14800,841
1965,新潟県,Niigata,188400,19800,42000,1200
1966,新潟県,Niigata,187300,19700,40800,1160
1967,新潟県,Niigata,187200,19400,38100,1040
1968,新潟県,Niigata,186600,18600,35500,949
1969,新潟県,Niigata,186700,18600,33500,900
1970,新潟県,Niigata,185800,18500,31600,832
1971,新潟県,Niigata,184400,18300,29900,750
1972,新潟県,Niigata,182700,17900,28300,692
1973,新潟県,Niigata,180800,17600,27500,629
1974,新潟県,Niigata,177200,17000,26700,626
1975,新潟県,Niigata,175700,16500,26600,618
1976,新潟県,Niigata,173900,16000,26500,601
1977,新潟県,Niigata,173500,15800,25800,586
1978,新潟県,Niigata,172500,15500,25300,569
1979,新潟県,Niigata,171700,15400,24900,558
1980,新潟県,Niigata,170800,15300,24500,549
1981,新潟県,Niigata,170100,15200,24200,535
1982,新潟県,Niigata,169100,15000,23900,526
1983,新潟県,Niigata,168100,14500,23900,511
1984,新潟県,Niigata,167000,14000,23600,493
1985,新潟県,Niigata,165900,13600,23500,484
1986,新潟県,Niigata,164600,13200,23200,452
1987,新潟県,Niigata,163900,13000,23100,450
1988,新潟県,Niigata,162800,12800,23100,450
1989,新潟県,Niigata,161400,12400,23100,442
1990,新潟県,Niigata,160100,12100,23000,423
1991,新潟県,Niigata,159000,11800,22800,402
1992,新潟県,Niigata,157400,11500,22400,390
1993,新潟県,Niigata,156000,11300,22200,383
1994,新潟県,Niigata,155000,11200,21900,374
1995,新潟県,Niigata,154200,11100,21600,364
1996,新潟県,Niigata,153300,11000,21300,348
1997,新潟県,Niigata,152400,10900,21000,341
1998,新潟県,Niigata,151500,10700,20900,326
1999,新潟県,Niigata,150900,10500,20700,317
2000,新潟県,Niigata,150300,10400,20400,313
2001,新潟県,Niigata,149900,10300,20100,298
2002,新潟県,Niigata,149500,10200,19900,289
2003,新潟県,Niigata,149200,10200,19700,281
2004,新潟県,Niigata,148900,10100,19500,277
2005,新潟県,Niigata,147700,9600,19500,275
2006,新潟県,Niigata,147500,9610,19500,272
2007,新潟県,Niigata,147000,9590,19500,271
2008,新潟県,Niigata,146500,9560,19500,269
2009,新潟県,Niigata,145500,9510,19600,270
2010,新潟県,Niigata,145000,9480,19600,268
2011,新潟県,Niigata,144500,9440,19700,266
2012,新潟県,Niigata,143800,9400,19600,262
2013,新潟県,Niigata,143800,9410,19500,261
2014,新潟県,Niigata,143600,9270,19400,262
2015,新潟県,Niigata,143300,9150,19300,261
2016,新潟県,Niigata,142900,9000,19100,258
2017,新潟県,Niigata,142600,8870,19100,255
2018,新潟県,Niigata,142200,8740,18900,254
2019,新潟県,Niigata,141900,8710,18800,251
2020,新潟県,Niigata,141400,8680,18700,249
2021,新潟県,Niigata,140800,8640,18600,246
2022,新潟県,Niigata,140300,8640,18500,247
1965,奈良県,Nara,28100,2360,8840,724
1966,奈良県,Nara,27700,2320,8800,720
1967,奈良県,Nara,27300,2300,8700,721
1968,奈良県,Nara,26900,2270,8630,715
1969,奈良県,Nara,26300,2220,8590,712
1970,奈良県,Nara,25400,2140,8380,695
1971,奈良県,Nara,24600,2070,8140,675
1972,奈良県,Nara,23900,2010,8020,664
1973,奈良県,Nara,23500,1980,7960,659
1974,奈良県,Nara,23100,1960,7880,652
1975,奈良県,Nara,22700,1910,7740,633
1976,奈良県,Nara,22300,1880,7600,621
1977,奈良県,Nara,22100,1870,7510,616
1978,奈良県,Nara,21800,1840,7400,607
1979,奈良県,Nara,21300,1800,7280,596
1980,奈良県,Nara,21000,1770,7260,606
1981,奈良県,Nara,20700,1750,7260,610
1982,奈良県,Nara,20400,1720,7260,611
1983,奈良県,Nara,20200,1710,7290,613
1984,奈良県,Nara,20000,1700,7440,629
1985,奈良県,Nara,19800,1670,7460,631
1986,奈良県,Nara,19400,1650,7450,626
1987,奈良県,Nara,19000,1600,7320,616
1988,奈良県,Nara,18800,1590,7230,609
1989,奈良県,Nara,18700,1580,7190,605
1990,奈良県,Nara,18400,1560,7160,603
1991,奈良県,Nara,18100,1540,7090,602
1992,奈良県,Nara,17900,1520,7040,595
1993,奈良県,Nara,17600,1500,6910,583
1994,奈良県,Nara,17400,1480,6790,572
1995,奈良県,Nara,17200,1470,6690,564
1996,奈良県,Nara,16800,1440,6580,553
1997,奈良県,Nara,16500,1430,6490,542
1998,奈良県,Nara,16400,1410,6390,533
1999,奈良県,Nara,16300,1400,6270,523
2000,奈良県,Nara,16100,1390,6190,518
2001,奈良県,Nara,16000,1370,6130,514
2002,奈良県,Nara,15800,1360,6080,510
2003,奈良県,Nara,15700,1350,6050,507
2004,奈良県,Nara,15600,1340,5990,495
2005,奈良県,Nara,15500,1330,5970,492
2006,奈良県,Nara,15400,1320,5970,493
2007,奈良県,Nara,15300,1310,5960,493
2008,奈良県,Nara,15100,1290,5930,496
2009,奈良県,Nara,15000,1280,5890,493
2010,奈良県,Nara,14900,1280,5860,490
2011,奈良県,Nara,14800,1270,5850,489
2012,奈良県,Nara,14800,1270,5840,488
2013,奈良県,Nara,14700,1260,5820,487
2014,奈良県,Nara,14500,1220,5800,471
2015,奈良県,Nara,14300,1210,5800,471
2016,奈良県,Nara,14000,1180,5730,465
2017,奈良県,Nara,13700,1150,5630,457
2018,奈良県,Nara,13400,1130,5560,452
2019,奈良県,Nara,13100,1100,5490,446
2020,奈良県,Nara,13000,1090,5440,442
2021,奈良県,Nara,12900,1080,5400,438
2022,奈良県,Nara,12800,1070,5350,435
1965,長野県,Nagano,76100,12800,85900,5180
1966,長野県,Nagano,76000,12800,84700,5110
1967,長野県,Nagano,76000,12800,82700,4970
1968,長野県,Nagano,75900,12700,81200,4810
1969,長野県,Nagano,76000,12700,79500,4700
1970,長野県,Nagano,75200,12500,77600,4580
1971,長野県,Nagano,73400,12200,76600,4510
1972,長野県,Nagano,72600,11700,74900,4480
1973,長野県,Nagano,71800,11500,73400,4390
1974,長野県,Nagano,70200,11200,71100,4250
1975,長野県,Nagano,69800,11100,70400,4190
1976,長野県,Nagano,69600,10800,69900,4180
1977,長野県,Nagano,69600,10700,69600,4180
1978,長野県,Nagano,68900,10700,68900,4190
1979,長野県,Nagano,68200,10400,68200,4150
1980,長野県,Nagano,67300,10200,67500,4110
1981,長野県,Nagano,66500,10100,67400,4130
1982,長野県,Nagano,65700,9950,67500,4210
1983,長野県,Nagano,65200,9840,67500,4200
1984,長野県,Nagano,64600,9780,67000,4180
1985,長野県,Nagano,64200,9720,66600,4140
1986,長野県,Nagano,63800,9630,65700,4100
1987,長野県,Nagano,63200,9580,64900,4060
1988,長野県,Nagano,62800,9520,64300,3940
1989,長野県,Nagano,62200,9430,63400,3900
1990,長野県,Nagano,61500,9310,62800,3860
1991,長野県,Nagano,60700,9200,61800,3780
1992,長野県,Nagano,59400,9020,60800,3720
1993,長野県,Nagano,58600,8890,59800,3670
1994,長野県,Nagano,57700,8750,59000,3610
1995,長野県,Nagano,56800,8620,58300,3560
1996,長野県,Nagano,55700,8450,57600,3520
1997,長野県,Nagano,54100,8200,57400,3490
1998,長野県,Nagano,53000,8020,56800,3440
1999,長野県,Nagano,52300,7880,56100,3390
2000,長野県,Nagano,51800,7810,55200,3340
2001,長野県,Nagano,51300,7750,54500,3290
2002,長野県,Nagano,51100,7700,54000,3260
2003,長野県,Nagano,50800,7660,53600,3230
2004,長野県,Nagano,50500,7610,53100,3200
2005,長野県,Nagano,50100,7540,52700,3180
2006,長野県,Nagano,49700,7480,52600,3160
2007,長野県,Nagano,49400,7420,52400,3150
2008,長野県,Nagano,48700,7310,52400,3150
2009,長野県,Nagano,48400,7260,52500,3160
